Zone,Borough,latitude,longitude,heat_property_val
Bensonhurst East,Brooklyn,-73.99290805934723,40.612403358960705,3
Bath Beach,Brooklyn,-74.00733740515271,40.604102519784924,2
Riverdale/North Riverdale/Fieldston,Bronx,-73.90991233668186,40.89402288768475,1
Battery Park,Manhattan,-74.0016447004499,40.69489080698312,2
Ridgewood,Queens,-73.9043803182959,40.70645821863044,3
Bushwick North (West),Brooklyn,-73.92615074293467,40.70078203400203,2
Brooklyn Navy Yard,Brooklyn,-73.97899640763016,40.70594713511322,1
Grymes Hill/Clifton,Staten Island,-74.07777671148109,40.62716150404967,1
Greenpoint,Brooklyn,-73.94774222479111,40.72943730469232,1
Eltingville/Annadale/Prince's Bay,Staten Island,-74.17282067303134,40.53812212776284,1
North Corona,Queens,-73.86291055930255,40.754206102065844,1
Prospect Heights,Brooklyn,-73.96753716038879,40.67747142549298,2
Gravesend/Calvert Vaux Park,Brooklyn,-73.98855598016888,40.59000410945521,1
Inwood Hill Park,Manhattan,-73.921719723602,40.87273252935779,1
South Williamsburg,Brooklyn,-73.95542526634905,40.70303150527341,2
Bellerose,Queens,-73.91234036709469,40.65182692765207,1
Oakland Gardens/Cunningham Park,Queens,-73.76106004310249,40.7360027656425,1
